Sense	Concepticon_ID	Concepticon_Gloss
Zeichnung, Darstellung		
einem etwas zeigen		
Zeichen, Wunder	1720	SIGN
Korb, Weidenkorb	1539	BASKET
Zweig, Rebe	3222	TWIG
zerstören, zerreißen, auflösen	681	DESTROY
Waldbewohner		
Tetrarch, Vierfürst		
Mägdlein		
verwüsten, wegreißen		
fügsam, gehorsam		
Lehre, Unterweisung		
lehren, ziehen, unterrichten	1455	PULL
Lehrer	1038	TEACHER
zähmen		
zahm	2838	TAME
anzünden, brennen machen	737	LIGHT (IGNITE)
Zapfen		
kennzeichnen		
losbrechen, ausbrechen	3112	ERUPT
rauben		
raffen		
Zotte		
Ziehung, Führung		
Werk, Tat		
tun, machen, wirken	734	MAKE
Täter		
Riss		
reißen	1735	TEAR (SHRED)
Zerstörung		
bis, zu	2754	TOWARDS
zig		
kündigen, zeigen	1039	SHOW
anrühren, berühren	1892	TOUCH
töricht		
schaden	2947	DAMAGE (INJURY)
ziemend		
ziemend		
Waldbewohner, Westgoten		
Ordnung		
teilig		
anordnen		
der		
elf	1706	ELEVEN
dreizehn	1708	THIRTEEN
zwölf	1707	TWELVE
Opfer	1103	SACRIFICE
Zehnzahl, ...zig		
besonnen		
Zielrat		
zielen, streben		
zielstrebig, passend, geschickt	1824	DEXTEROUS
sich ziemen, geziemen		
Bauholz		
Erbauung		
Zimmermann	1042	CARPENTER
bauen, zimmern, erbauen	1840	BUILD
Bau, Gebäude	2949	LAIR
ziehen, führen, wegführen	1455	PULL
Ruck, Zug	900	TRAIN
320		
333		
345		
getan habend, tuend, Tuer		
Gefahr	1810	DANGER
Vertrauen, Zuversicht		
trauen, Zutrauen haben		
Bündnis, Bund, Vertrag		
stark, fest	785	STRONG
trauern, betrüben	1955	GRIEVE
Bündnis, Bund		
treulich, zuverlässig		
treu, zuverlässig	100	FAITHFUL
Trauer, Unlust		
treten	1135	KICK
Dreineungeld, Siebenundzwanzigfachentgelt		
trippeln, hüpfen, springen	1829	JUMP
Holz, Prügel, Baum	906	TREE
hölzern		
treten, keltern	1135	KICK
streuen		
Helmbüschel		
Zieher, Führer		
Gestirn		
Zunge	1205	TONGUE
Zelt, Vorhang	1316	TENT
Festigkeit, Sicherheit, Fundament, Grundfeste, Befestigung		
festigen, stärken, befestigen	1094	FASTEN
fest, beständig, standhaft	3003	SOLID
Zaun	1690	FENCE
Dorn, Zahn	1380	TOOTH
brennen	1428	BURNING
Zahn	1380	TOOTH
zer…		
zweifeln	3536	DOUBT (SOMETHING)
verdächtig		
zwei	1498	TWO
zwanzig	1710	TWENTY
zwölfjährig		
zwölf	1707	TWELVE
Zweifeln, Bezweiflung	3536	DOUBT (SOMETHING)
zweifeln, in Zweifel versetzen	3536	DOUBT (SOMETHING)
Zweifel		
zweifelhaft		
je zwei		
entzwei		
sich trennen, Abschied nehmen von	1359	SEPARATE
Zwistigkeit, Zwiespalt		
Ziu, Kriegsgott, Siegesgott, tRune		
th, Abkürzung für 9		
wohin, dorthin wo	2928	WHITHER (WHERE TO)
denken, überlegen	1415	THINK (REFLECT)
Dank		
Schweigen	48	BE SILENT
schweigen	48	BE SILENT
Lehm, Ton	1399	CLAY
Dachs	3717	BADGER
durch	97	THROUGH
durcharbeiten		
hindurchtragen		
hindurchgehen, vorübergehen, herumgehen, durchstreifen		
deuten, auf jemanden übertragen, beziehen auf		
hindurchgehen, vorbeigehen, weitergehen		
durchschauen, im Spiegel erblicken		
durchwachen, unter freiem Himmel übernachten, biwakieren		
verbleiben, verharren	987	REMAIN
Loch, Nadelöhr	1667	HOLE
verdorren		
decken		
dann, darauf, wann, so lange als, als, da	1238	WHEN
dann	2921	THEN
weiter, noch, mehr	2919	STILL (CONTINUING)
weiter, noch	2919	STILL (CONTINUING)
wenn, weil, so lange als, da	1157	BECAUSE
wann, wieviel	1238	WHEN
strecken, dehnen		
ja, wohl, also darum	1268	YES
dann, daher, also, aber, nun	2921	THEN
dort, daselbst, da	1937	THERE
Mangel, Armut		
darben		
nötig, bedürftig		
wo	1237	WHERE
ungewalkt		
da, nun, aber, daselbst	1937	THERE
das eine		
nur	1580	ONLY
dass, weil, als ob	1157	BECAUSE
daher, von da, darauf, hinfort, für die Zukunft		
von wannen, woher, von wo		
von da, daher, darauf, darnach		
als, oder, doch, wohl, etwa, wie	1239	HOW
oder, doch	1014	OR
wenn auch		
Riese		
nötig haben, bedürfen, Mangel leiden	2339	NEED (SOMETHING)
enthaltsam		
nötig, nützlich, notwendig		
Bedürfnis, Notdurft, Not		
Riese		
von Dornen, dornen		
Dornbusch		
Dorn	124	THORN
bebautes Land, Acker, Feld	212	FIELD
vergleichen	3429	COMPARE
durstig		
dürsten	3474	BE THIRSTY
verdorren, vertrocknen		
Durst		
durstig		
dürr, vertrocknet		
desto, um so		
darum dass, deshalb dass, als ob, als wenn		
was auch immer, dass, damit		
gedeihen, Fortschritte machen		
Zeit	892	TIME
Donner	1150	THUNDER
dein	732	YOUR (SINGULAR)
Dienerschaft, Knechte		
Diele, Planke, Brett	1227	BOARD
ziehen	1455	PULL
dick werden		
meist, vorzüglich, besonders		
wohin auch immer, wohin nur immer		
wo auch immer, wo nur immer		
wer auch immer, wer nur immer		
Diebstahl		
diebisch, heimlich		
verstohlen, heimlich		
Volk, Heiden	789	PEOPLE
Königsschloss, Königreich, Palast		
herrschen, König sein		
König	1508	KING
Regierung, Königreich, Reich	712	RICH
heidnisch		
Tausendschaft		
Knechtführer, Tausendführer		
Knechtführer, Tausendführer		
Dieb, Räuber	1160	THIEF
Oberschenkel, Hüfte	471	UPPER LEG (THIGH)
Kniehose		
Knecht	812	SLAVE
Haussklave, Diener, Knecht	812	SLAVE
das Gute, die gute Sache, Gut	1035	GOOD
lärmen	2895	MAKE NOISE
Güte		
gut, gepriesen	1035	GOOD
Güte, Segen		
Segen, Segnung		
segnen	391	BLESS
gut	1035	GOOD
Gutes künden, frohe Botschaft künden, verkündigen		
Knechtschaft, Dienstbarkeit		
Magd		
dienstbar machen		
Magd		
schrecken, erschrecken	252	FRIGHTEN
erschrecken	252	FRIGHTEN
ermahnen, trösten		
Trost		
zart		
Flucht		
fliehen	956	FLEE
Trost, Tröstung		
trösten, mahnen, ermahnen		
Trost		
laufen	1519	RUN
Menge	2987	AMOUNT
Heuschrecke	810	LOCUST
schnell, verwegen	1631	FAST
Streitsucht		
streitsüchtig		
drängen		
Drangsal, Bedrängnis		
drei	492	THREE
dreißig	1715	THIRTY
dritte		
dreißig	1715	THIRTY
zum dritten Mal		
schwellen	1573	SWELL
dreschen	285	THRESH
schwerfallen		
üben		
Druck, Stoß		
Aussatz	3624	LEPROSY
aussätzig		
Kraft		
du	1215	THOU
der du	1215	THOU
Fahne, Büschel	2623	FLAG
glauben, meinen, gelten, erscheinen, dünken	1890	BELIEVE
mütig, dünkend		
Gewissen		
Dulden, Leiden, Geduld		
dulden, leiden		
Geduld		
Donnerer, Donar		
schwellen	1573	SWELL
Held		
groß, Kraft	1202	BIG
tausend	1843	THOUSAND
Tausendführer, Anführer von Tausend		
Trompete	775	TRUMPET
trompeten		
Lärm	1182	NOISE
etwas waschen, sich waschen	3371	WASH (ONESELF)
Bad, Taufe		
Zorn, Streitigkeit, Streit		
quer, zornig		
Sicherheit		
befestigen		
fest	3003	SOLID
Rauchopfer, Räucherwerk		
u, Abkürzung für 70		
ob, oder	1014	OR
Übel		
übel, böse	45	EVIL
übel, böse, schlecht	1292	BAD
übeltäterisch, Übeltäter		
übel sprechen, schmähen		
übelredend, schmähsüchtig		
Halle		
unter	1485	BELOW OR UNDER
74		
unter	1485	BELOW OR UNDER
durch Eid verpflichtet, durch Eid verbunden, vereidet		
der seinen Überfluss zeigt		
über	1741	ABOVE
obere		
überfließend machen, überschwänglich machen, überfließen, im Überfluss vorhanden sein		
Überfluss, Übermaß		
Überfülle, Überfluss		
überfüllen		
festgedrückt, übervoll		
etwas übertreten, übergreifen, überschreiten		
übergießen, übervoll gießen		
Oberpriester, Mitglied des Synhedrions		
überheben		
sich überheben		
überziehen, sich mit etwas überkleiden, sich anziehen	814	DRESS UP
überhöhen, verblenden		
Überhören, Ungehorsam	3813	DISOBEDIENT
überhören		
himmlisch		
überzelten, ein Zelt über jemandem aufschlagen		
sich überheben		
darüber hinaus		
überdecken		
übersetzen, hinüberfahren	2906	TRANSLATE
Vergessenheit		
vergessen	1523	FORGET
Überschrift		
Überschrift		
überschreiben, darüber schreiben		
vergessen	1523	FORGET
vergessen	1523	FORGET
darüber, über etwas, über einem, über einer Sache		
Besprengung		
überrennen, besprengen		
überschatten		
Erstlingsfrucht, Anbruch		
darüber emporsteigen		
Meineidiger		
falsch schwören		
überstreuen		
übertreffen		
überaus wachsen, sich stark vermehren		
überragend sein, übersteigen, hervorragen		
aufblasen		
aufblasen, sich aufblähen		
verwerfen, verachten	2715	DESPISE
verbrennen	141	BURN (SOMETHING)
taufen, eintauchen	3697	DIP
umgürten		
nachgraben, unterwühlen, aufgraben		
aufheben, emporhalten	371	PICK UP
Gehorsam		
gehorchen, sich an etwas halten	1635	OBEY
auflachen machen, lachen machen, auflachen		
Gehorsam, Unterordnung, Unterwerfung		
einen unterwerfen unter		
aufschreien, ausrufen		
Überfluss		
erkennen, erfahren	2870	RECOGNIZE (SOMEBODY)
Erkenntnis		
unterliegen, verschmachten, matt werden, sterben	1494	DIE
unterschreiben		
aufrecken, ausstrecken, hinaufziehen	214	STRETCH
versenken		
einschleichen, zu Unrecht einführen, sich zurückziehen, sich fortschleichen		
aufschneiden, schlachten	1796	SLAUGHTER
darunterstreuen, unterbreiten		
Aufgeblasenheit, Hochmut		
aufschwellen, aufblasen		
aufseufzen		
oft	1852	OFTEN
vielleicht	2278	PERHAPS
ausdehnen, ausstrecken, nach etwas trachten	214	STRETCH
verheiratet		
aufschreien, ausrufen		
73		
unser beider		
Unze		
und, nun, also	1577	AND
zur rechten Zeit, zu gelegener Zeit		
Zeit habend, unbeschäftigt		
Zeit, Gewohnheit	892	TIME
gelegen, passend, zeitgemäß		
Morgendämmerung		
Kamel	1871	CAMEL
un		
unfurchtsam, furchtlos		
Furchtlosigkeit		
furchtlos		
unheilig, gottlos		
ohne Schande		
unsichtbar		
unsichtbar		
unenthüllt		
unbestritten		
unbestreitbar, unwiderleglich		
unzugänglich		
nicht tragend		
kinderlos		
ungeboren		
Ungesäuertsein, ungesäuertes Brot		
ungesäuert		
wildes Tier, Bestie		
unaufspürbar, unbegreiflich, unerforscht		
Nichtbeschneidung, Vorhaut		
unbeschnitten		
unbrauchbar		
bis, zu, für, um etwas, ent	2754	TOWARDS
unter	1485	BELOW OR UNDER
das Innere, innerste, die untersten		
Allergeringster, Geringster		
niedrig, gering	3348	LOW (POSITION OR HEIGHT)
unter	1485	BELOW OR UNDER
Frühstück, Mittagsmahl	1322	BREAKFAST
ergreifen, requirieren	855	SEIZE
Unsterblichkeit		
unsterblich		
besorgen, gewähren		
zufallen, zuteil werden, untereinander disputieren		
unpassend		
tadellos, außer Schuld, ohne Tadel		
untadelig, tadellos		
unaufspürbar, unerforschlich		
geschwätzig		
unvorsätzlich, ohne Vorbedacht, unbedacht		
unverständig		
Schonungslosigkeit, Härte		
Unverstand, Torheit		
unverständig		
tadellos, unbescholten		
tadellos, unbescholten, schuldlos		
zügellos, unbeherrscht, unenthaltsam		
Unmäßigkeit, Unenthaltsamkeit		
unfügsam, ungehorsam	3813	DISOBEDIENT
verwerflich, nicht probehaltig		
Unglaube, Ungehorsam	3813	DISOBEDIENT
ungläubig, ungehorsam	3813	DISOBEDIENT
wertlos		
Gesetzlosigkeit, Ungerechtigkeit		
ungesehen, unsichtbar		
ohne festen Stand, ohne bleibende Stätte		
ungeordnet, zügellos		
unordentlich, ungeregelt		
ungeordnet, unordentlich		
unbewegt, unbeweglich	1636	MOTIONLESS
nicht habend		
Schwäche, Krankheit	1986	DISEASE
krank	1847	SICK
nicht handgemacht, nicht mit der Hand gemacht		
ungeheuchelt		
Unreinheit		
Unreinheit		
unrein, ungebildet		
Unhold, Teufel		
Unholdin, Dämon		
ohne Opfer, unversöhnlich		
unauslöschlich		
unablässig, beständig		
sorglos, unbesorgt		
Unbeschwerde, Unbeschwerlichkeit		
nicht kennend, unwissend	2651	BE IGNORANT
Unkunde		
unbekannt		
Armut		
arm machen		
arm	1674	POOR
ungeliebt, unlieb		
unverheiratet		
nicht lügend		
ungeheuchelt, ohne Falsch		
Unlust		
ohnmächtig, schwach, unmöglich	1601	WEAK
Ohnmacht, Schwäche, Krankheit	1986	DISEASE
ungezähmt, wild, grausam	2230	UNTAMED OR WILD
unvorbereitet		
lieblos		
unnütz, töricht		
unbeweibt		
unaussprechlich		
Unvergänglichkeit		
unvergänglich		
nicht redend, stumm	1666	MUTE
unbestritten, unbestreitbar		
nicht sehend		
ungesalzen, kraftlos		
unser	780	OUR
Bosheit, Schlechtigkeit		
übel, böse	45	EVIL
ungesetzlich, gottlos		
nüchtern		
Aufstand, Aufruhr		
unaufhörlich		
verunehren, beschimpfen		
Unehre		
Unehre		
nicht geachtet, verachtet		
unbekannt		
unfügsam, unbotmäßig, ungehorsam, ungebildet, töricht	3813	DISOBEDIENT
bis, solange als, denn, weil, da	1157	BECAUSE
voreilig, unbesonnen		
untreu, ungerecht		
entfliehen, einem entrinnen	1615	ESCAPE
Unvolk, Nichtvolk		
das Böse	45	EVIL
fluchen		
ungewaschen		
unanstößig		
zur Unzeit		
unzeitig		
unbelehrt, ungelehrt		
nicht auszuerzählen, unerforschlich		
tadellos, untadelhaft		
unwürdig		
unwürdig		
Unbeflecktheit, Reinheit, Lauterkeit		
fleckenlos, tadellos, rein	1147	PURE
Untätige, Müßige		
ungebildet, unwissend	2651	BE IGNORANT
unerwartet, plötzlich, unverhofft	2920	SUDDENLY
Unwille		
unwillig sein, zürnen	2223	BE ANGRY
unwillig, zornig		
ungewiss, ins Ungewisse		
Unwissender, Unverständiger, Törichter		
unwissend	2651	BE IGNORANT
Unwissenheit, Unverstand		
beängstigt, bekümmert		
aus		
zum Aufstehen bringen, aufrichten, erwecken, erregen, aufregen		
aufgehen lassen		
auflegen, bestimmen, urteilen	1818	ADJUDICATE
erstehen, sich erheben, aufstehen	570	STAND UP
auslaufen, ausgehen, aufgehen		
Auferstehung		
verworfen		
sich erweitern, aufgehen		
Aufgang, Osten, Abtritt	1877	EAST
Ausgang		
Auerochs, uRune		
aus, von her, seit, gleich nach		
einen erschrecken		
ins Gesicht schlagen, bedrängen, belästigen, beschimpfen	2869	BOTHER (HARASS)
sich anstrengen		
alt werden, veralten		
hinaustragen, hervorbringen, vorbringen, ertragen	833	ENDURE
Frechheit, fortwährende Zänkerei		
wagen, sich erkühnen	1779	DARE
ausfegen		
erwarten, Geduld haben		
Geduld, Langmut		
geduldig, langmütig	3884	PATIENT
Erwartung, Geduld, Langmut		
erbitten		
durchbleuen		
bitten	1828	ASK (REQUEST)
Bitte, Flehen, Gebet		
ausbreiten nach		
ausgebrochen werden, abgebrochen werden		
erkaufen		
Ausdauer, Eifer		
sich beeifern, seine Ehre suchen		
eifrig		
eifrig		
austreiben, vertreiben		
herausfallen		
rauher Weg		
tadellos		
Ausfahrt		
ausfahren		
Begräbnis		
begraben	1719	BURY
erschrocken, entsetzt		
Entsetzen		
Nahrung	256	FOOD
nähren		
versuchen	1812	TRY
klug machen, ausrüsten, ausstatten		
Erfüllung		
erfüllen, vollenden, ersetzen, zusammenfassen		
erfüllt werden von		
ausgehen, hinausgehen	1107	GO OUT
erschrecken	252	FRIGHTEN
sich entsetzen, erstaunen, erschrecken	252	FRIGHTEN
erstatten, bezahlen, darstellen, darbringen	718	PAY
vergelten		
ausgraben		
mutlos		
verschüttet werden		
erheben, wegnehmen		
sich erhängen		
Mangel leidend, bedürftig		
herausfordern		
erhöhen	1041	INCREASE
verherrlicht werden, erhöhen, erhöht werden	1041	INCREASE
erbeuten		
aufspringen, sich aufmachen		
ausfegen		
kreuzigen		
abschütteln		
aushöhlen	46	HOLLOW OUT
verkünden, berichten, empfehlen, kundtun		
hervorkeimen		
erproben, verwerfen, vertreiben, auswählen		
bekannt, offenbar	3005	FAMILIAR
auflegen, anlegen		
belehrt, gelehrt		
belehren, lehren	709	TEACH
erlauben	1003	PERMIT
Erlösung		
entledigen, entäußern, entleeren, berauben, erlösen, befreien, entwurzeln		
hinausgehen, weggehen, verreisen, vergehen	1752	LEAVE
ausschließen		
gichtbrüchig, Gichtbrüchiger		
Eröffnung, Öffnung, Loch	1667	HOLE
erschließen, öffnen	1156	OPEN
sich erschließen, sich öffnen		
Erlösung		
erlösen		
verführen, irreführen		
ausschneiden, abschneiden, ausrotten, aushauen		
sich vermehren, sich reichlich zeigen		
verkünden		
sich verbreiten, sich ausbreiten		
Lebensführung, Lebenswandel, Bürgerrecht, Wandel		
wandeln, leben, sich benehmen	1422	BE ALIVE
herausnehmen, wegnehmen, aufnehmen, mitnehmen, annehmen		
umbringen, den Tod geben	1417	KILL
Beschuldigung, Anklage, Nachrede		
verderben, umbringen, töten, zugrunde richten	1417	KILL
ein Gerede verbreiten		
sich erweitern		
aufblicken, ansehen, das Gesicht wieder erhalten, aussehen, umsehen	1650	WATCH
erörtern, vorlegen, ausführlich vortragen		
Herberge nehmen, einkehren		
aussenden		
Ursprung		
daraufsetzen, pflanzen, erzeugen, aussenden, zusammensetzen, gründen	653	PLANT (VEGETATION)
vorlesen, rezitieren		
am meisten, besonders, ausnehmend		
außer dem Weg befindlich, besonders		
sich aufsetzen, sich aufrichten		
nüchtern werden, zur Besinnung kommen, herausreißen		
erforschen, verhören, unterscheiden, bevorzugen, ausforschen		
verkünden, erzählen, ausführlich erzählen	1711	TELL
aussprechbar		
ausstechen		
sich erheben, aufbrechen, auferstehen, aufstehen	570	STAND UP
Auferstehung		
emporsteigen, hinaufsteigen	705	GO UP (ASCEND)
Zügellosigkeit, Liederlichkeit		
zügellos		
zügellos		
Auszeichnung, Bezeichnung, Bekanntmachung, Anzeichen, Beweis, Darstellung		
bezeichnen, auszeichnen, erweisen, darstellen, in die Erscheinung bringen	180	CALL BY NAME
Vollendung, Vervollkommnung, Ende, Erfüllung	743	END (OF TIME)
hinausführen, wegführen, entrichten, ausführen, vollbringen, vollenden, herstellen	2886	PRODUCE
ziehen	1455	PULL
einem Beschwerde bringen, beschwerlich fallen		
Übung, Stählung		
einüben		
Geduld		
erdulden, ertragen, sich annehmen	833	ENDURE
auswaschen, abwaschen		
erregen		
erwachsen		
erwachsen		
Wachstum		
hinauswerfen, wegwerfen, austreiben, verwerfen, abwerfen, ablegen, daraufwerfen	3696	THROW AWAY
erwecken, aufwecken		
Umwälzung, Zusammensturz, Zerstörung, Untergang		
etwas umwälzen, etwas umstürzen		
hin und her wälzen, hin und her treiben, umherschleudern		
Verführung		
Abwendung, Irreleiten, Irreführung		
sich wegwenden, sich entziehen, verfallen		
gerecht		
Gerechtigkeit		
ausführen, vollbringen		
Auswurf, Verwerfung, Fehlgeburt		
außer der Weihe, unheilig, profan		
hoffnungslos		
flechten, winden	3294	BRAID (VERB) OR WEAVE (BASKET)
losgebunden		
Leichtfertigkeit, Eitelkeit		
hinaus, heraus		
außerhalb, draußen	762	OUTSIDE
von außen, außen, äußere, außerhalb	762	OUTSIDE
von außen, außerhalb	762	OUTSIDE
hinaustragen		
hinausgehen, ausgehen	1107	GO OUT
ausatmen, aushauchen		
Spitze	2992	TIP (OF OBJECT)
Krippe		
Wasser, Furt	948	WATER
Wand, Geflecht, Mauer	933	WALL (OF HOUSE)
Pfand		
Handschein, Schuldschein		
verloben		
Wange	1730	CHEEK
Kopfkissen		
Wange	1730	CHEEK
Wiese, Paradies	2819	GRASSLAND
Wagen	2620	CARRIAGE
schütteln, bewegen	1909	SHAKE
tadelig		
wachsen	479	GROW
Wachstum		
Wuchs, Wachstum, Körpergröße, Größe	2845	SIZE (OF OBJECT)
Wache	1940	GUARD
wehe		
wehen	175	BLOW (OF WIND)
weben, winden	133	WEAVE
Weide	649	PASTURE
Übeltäter, Räuber		
Übeltat		
wehklagen		
Kampf		
Winkel, Ecke	192	CORNER
Winkelstein, Eckstein		
etwas	2924	A LITTLE
Ding, Sache, etwas	738	THING
wohl, gut, wohlan	1035	GOOD
Wohltat		
guter Ruf		
Verkündigung, Botschaft		
wohllautend, löblich		
einem eine frohe Botschaft künden, predigen, frohe Botschaft bringen	304	PREACH
Segen		
verkünden, erzählen, frohe Botschaft verkünden	1711	TELL
gute Nahrung, gute Kost		
elend, geplagt		
wenn doch, dass doch		
weinen	1839	CRY
weinen	1839	CRY
binden	1917	TIE
Kranz		
Mann	1554	MAN
männlich		
männlich		
Gastfreund, Hauswirt, Wirt		
Lippe	478	LIP
werfen	1456	THROW
schlimmer		
schlimmer		
Preis, Wert	657	PRICE
wert, würdig		
werden, geschehen, geboren werden, entstehen, kommen, stattfinden, sich ereignen	1446	COME
friedfertig, friedlich		
wärtigkeit		
Wert		
Tüchtigkeit, Fähigkeit, Wert		
wärts		
Naher, Gewärtiger		
friedlich sein		
friedlich machen, sich versöhnen		
schätzen, abschätzen, würdigen		
wert, würdig, tauglich		
...wärtig		
vielleicht, etwa	2278	PERHAPS
Jäger	1053	HUNTER
schlechter Ruf, übler Ruf		
Lästerung		
übelberüchtigt, übel berufen		
lästern	3641	SLANDER
wachen, wachsam sein		
wecken	3174	WAKE UP (SOMEONE)
wach werden		
wach, wacker		
welsch		
Tod, Schlachtfeld	910	DEATH
Wau, Färberwau		
walten, haushalten, dem Hauswesen vorstehen		
mächtig, Walter	3001	POWERFUL
Walter, Herrscher	3377	EMPEROR
Gewalt, Macht	2526	POWER
Wald	420	FOREST
Wahl		
wälzen		
welsch, ausländisch	109	FOREIGN
echt, lauter, geliebt		
wählen	1750	CHOOSE
Wälzung, Sturz		
sich wälzen, stürzen		
hin und her treiben		
Stab		
sich wälzen		
wälzen		
Bauch, Schoß, Leib	1251	BELLY
Fleck		
Beflecktheit		
beflecken		
schlecht, gemein	1292	BAD
Mangel		
Mangel		
mangeln, abnehmen	2864	DECREASE
Wandale		
Wendung		
Wendung		
wenden	1445	TURN (SOMETHING)
Gewundenes, Rute		
Mangel		
fehlend, mangelhaft,		
Hüterin		
Werden	1990	BECOME
Wächter		
Hüterin		
beobachten		
Wächter, Hüter		
Tücke, Verschlagenheit		
Verurteilung		
Verdammungsurteil, Verurteilung, Verdammnis		
verdammen		
Verdammter, Geächteter		
wehren	1330	DEFEND
wärmen		
warm	1232	WARM
sich versehen		
beachten		
behutsam, nüchtern, gewahr, vorsichtig	2758	CAREFUL
sich wehrend		
Bekleidung		
einen kleiden, sich kleiden, bekleiden		
Kleid, Kleidung	474	DRESS
Wasser	948	WATER
Wort	1599	WORD
vernünftig, sich in Worten zeigend		
Wortstreit		
Gerede		
Rede, Wort	1599	WORD
getan		
Werk, Tat		
Werk		
Wirken		
machen, wirken	734	MAKE
Wurm, Schlange	730	SNAKE
Werk, Tat, Wirksamkeit		
Arbeiter	2977	WORKER
Tun, Verrichtung, Betrieb	2931	BUSINESS
wirksam		
Arbeiter, Bauer, Winzer	979	FARMER
tätig		
Wurzel	670	ROOT
Erschütterung, Sturm, Wellenschlag, Brandung, Woge	858	STORM
Führer		
führen	43	LEAD (GUIDE)
Weib	962	WOMAN
Kampf		
Heiligtum, Tempel		
Priester	852	PRIEST
heilig	1702	HOLY
kämpfen	1423	FIGHT
weihen, heiligen		
Weihe, Heiligung, Heiligkeit		
heilig werden, heilig gehalten werden		
heilig, geweiht	1702	HOLY
Dorf, Weiler, Flecken	930	VILLAGE
Wein	1524	WINE
Weinbeere		
Weingarten, Weinberg		
trunken, trunksüchtig, Trunkenbold		
Weinrebe		
Weinstock, Weingarten		
Weintrinker, Säufer		
kränzen, krönen, bekränzen		
weise, klug	1310	CLEVER
weis, reihig		
wir	1212	WE
Weise	698	WISE
Weisheit		
weisen	2669	POINT (WITH FINGER)
besuchen, heimsuchen, besorgen	1377	VISIT
sehen	1409	SEE
Strafe		
sehen	1409	SEE
Zeugnis, Bezeugung, Zeugnisablegung		
Zeugnisablegung, Zeugnis		
Zeugnis		
Zeugnisablegung, Zeugnis		
zeugen, bezeugen	1152	BEGET
Zeuge		
erwartet		
warten, hoffen auf, meinen	1590	WAIT (FOR)
Hoffnung		
Waffe	951	WEAPONS
wahr	1657	TRUE
wahren		
gewährleistend		
Sein	1579	BE
Binde		
Weite		
binden	1917	TIE
weit	1243	WIDE
Holz, Wald	420	FOREST
Waise	1149	ORPHAN
Witwe	1756	WIDOW
Dornpflanze, Distel		
Kampf		
bewegen	765	MOVE
weg	2252	PATH
Weg	2252	PATH
Kampf		
weihen		
Reihenfolge, Ordnung, Woche	1469	WEEK
Wille, Wohlgefallen		
Parteilichkeit, Zuneigung, Gunst		
willkürlich		
wollen	1784	WANT
Willigkeit		
wälzen		
wild	2230	UNTAMED OR WILD
Räuber		
rauben		
windig		
winden		
Windung		
Wind	960	WIND
schief		
Wende		
Weide	649	PASTURE
Leiden, Leidenschaft		
leiden, Schmerz leiden		
Weide, wRune	649	PASTURE
Leiden		
Freund	1325	FRIEND
Winter, Jahr	1226	YEAR
Wind, windig	960	WIND
Worfschaufel		
streuen		
Kranz		
Meeresstille		
weise, klug, erfahren, verständig	1310	CLEVER
sein, existieren, bleiben	987	REMAIN
weilen, bleiben	987	REMAIN
sich freuen, schwelgen, schmausen	1495	HAPPY
Wisent		
Westgoten		
Bindung		
gebunden		
gewiss	509	CERTAIN
Wissen	1410	KNOW (SOMETHING)
Wissen	1410	KNOW (SOMETHING)
Westen	1817	WEST
westlich		
Westen	1817	WEST
westlich		
Wesen, Natur	3897	NATURE
gut	1035	GOOD
wir beide		
wissend		
Sehen	1409	SEE
wissen	1410	KNOW (SOMETHING)
auf etwas sehen, achtgeben, bewachen, hüten, halten, beobachten	1448	HOLD
wissend		
Wissen	1410	KNOW (SOMETHING)
Gesetzeskundiger		
gesetzesfest		
Gesetzeslehrer, Schriftgelehrter		
gesetzlos		
gesetzlich, gesetzmäßig		
Gesetz, Gebot	1062	LAW
gesetzlich		
Verstand	1562	MIND
Kenntnis, Erkenntnis		
klug	1310	CLEVER
schütteln	1909	SHAKE
wider, gegen, vor, gegenüber	1883	IN FRONT OF
entgegengehen		
begegnen	3904	ENCOUNTER (MEET)
gegenüberliegend, entgegengesetzt, im Gegenteil		
Widder, Lamm	1344	RAM
Waid, Waidkraut		
Waid, Waidkraut		
froh	1495	HAPPY
Nahrung	256	FOOD
schwelgen		
sich umsehen, umherblicken, spähen		
sehen	1409	SEE
Gesicht	1560	FACE
Gesicht	1560	FACE
Angesicht, Ansehen, Gestalt, Aussehen	1650	WATCH
ins Gesicht schlagen, kasteien		
Wachen		
wachen		
Ertrag, Frucht, Zins	1507	FRUIT
rufen, krähen, zurufen, schreien, ausrufen, laut rufen	1084	CALL
angenehm, süß, lieblich	717	SWEET
wütend, besessen	2223	BE ANGRY
krumm, schräg	297	CROOKED
Verfolgung		
Verfolgung		
verfolgen	1047	PURSUE
Verfolger		
verdreht		
Reise	2393	JOURNEY
reisen, gehen	1443	WALK
ritzen, reißen	1735	TEAR (SHRED)
Verfolgung		
verfolgt		
Herde	2939	FLOCK (OF ANIMALS)
drehen, winden	1445	TURN (SOMETHING)
verfolgen	1047	PURSUE
Frucht bringen		
Strich	2993	STROKE (OF PEN)
anklagen, beschuldigen	1814	ACCUSE
Klage, Anklage		
wühlen		
Schlinge	2604	NOOSE
wallen, sieden, um sich greifen	792	BOIL (OF LIQUID)
Wolf	522	WOLF
Wolle	964	WOOL
Tuchwalker		
herrlich, wunderbar, angesehen		
wertvoll	3002	PRECIOUS
Wert		
Herrlichkeit		
Raub		
zufrieden sein		
zufrieden		
wund machen, geißeln, plagen		
wund		
