Gothic	Meaning
strava	Scheiterhaufen zur Leichenfeier
streikan	streichen
strigga	Nessel, Riemen
striks	Strich
stubjus	Staub
stuggjan	stechen, stoßen
stuggq	Stoß
stuggs	Stich, Stoß
stunda	Standplatz
stunda	Zeitraum, Zeit
stūriliggs	junger Krieger
stutja	Stütze
stuþjan	anbinden
sugil	Sonne, sRune
sulja	Sohle, Sandale
sūljan	gründen
suman	einst, ehemals,, zum Teil
sums	irgendein, ein gewisser, jemand, ein, einige
sundi	Sünde
sundrō	abgesondert, besonders, allein, beiseite
sunja	Wahrheit
sunjaba	in Wahrheit
sunjeins	wahr, wahrhaft
sunjis	wahr
sunjōn	entschuldigen
sunjōns	Verteidigung
sunnō	Sonne
suns	alsbald, plötzlich, auf einmal, bald, sogleich
sunsaiw	sogleich
sunsei	sobald als
sunþar	südlich
sunus	Sohn
sūpa	Trank
sūpan	saufen
supōn	würzen, salzen
suppa	eingetunkte Schnitte
suppōn	einweichen
suqn	Magen
suqnan	krank werden
sūs	Sau
sūti	Ruhe, Milde
sūtis	nachgiebig, mild
suþjan	kitzeln
suþjōn	kitzeln
swa	so
swaei	so dass, daher, also
swaggwjan	schwanken machen
swah	so, so auch
swaíhra	Schwiegervater, Schwäher
swaíhrō	Schwiegermutter
swaírban	wischen
swalauþs	so groß, so viel
swaleiks	so beschaffen, solch
swalleins	Schwellung
swalljan	schwellen
swamms	Schwamm
swans	Schwan
swara	Schwörer
swaran	schwören
swarē	ohne Grund, vergebens, umsonst
swartis	Schwärze, Tinte
swartizl	Schwärze, Tinte
swartjan	schwärzen
swarts	schwarz
swaswē	sowie, gleichwie, wie, gegen, so dass
swaþþan	so nun
swau	so
swē	wie, gegen, als, da
Swēbōs	Schwaben, Sweben
swēgniþa	Jubel, Frohlocken, Freude
swēgnjan	jubeln, triumphieren, frohlocken
swēgns	froh, fröhlich
sweiban	ablassen, aufhören
sweibands	aufhörlich
swein	Schwein
sweins	Sau
sweipains	Fegung
sweipan	fegen, sich schwingend bewegen
Swēōs	Schweden
swēran	ehren, achten
swērei	Ehre
swēriþa	Ehre
swērs	geehrt, geachtet, gewichtig
swēs	eigen, angehörig
swēs	Eigentum, Vermögen
swēþauh	doch zwar, wenigstens
swibls	Schwefel
swiggwan	sich schwingen
swigl	Flöte
swiglja	Flötenspieler, Flötenbläser
swiglōn	Flöte blasen, aufspielen
swiknaba	rein, reinen Herzens
swiknei	Reinheit, Keuschheit, Unschuld
swikneins	Reinigung
swikniþa	Reinigung, Reinheit, Keuschheit
swiknjan	reinigen
swikns	rein, unschuldig, unsträflich, keusch
swikunþaba	offenbar, offen heraus, deutlich, ausdrücklich
swikunþjan	bekanntgeben, offenbaren
swikunþs	offenkundig, offenbar, bekannt
swillan	schwellen
swiltan	im Sterben liegen, sterben
swimman	schwimmen
swinþei	Stärke, Kraft
swinþjan	stärken
swinþnan	stark werden
swinþs	stark, kräftig, gesund
swistar	Schwester
swnagōgafaþs	Synagogenvorsteher
swnagōgē	Synagoge
swōgan	rauschen, tönen
swōgatjan	seufzen
swōgjan	seufzen
swōgs	Geräusch
swultawaírþja	dem Tode Naher, Todgeweihter
swultawaírþs	auf den Tod gerichtet, todgeweiht
swults	Tod
swumfsl	Teich
t	t, Abkürzung für 300
taban	Opfer, Opfertier
taddora	Zottel, Fetzen, Flausch
tagl	Haar
tagr	Zähre, Träne
tagrjan	weinen
tahanjan	zäh sein, streiten
taheins	Zerreißung
tahjan	reißen, zerren, ausstreuen
tāhus	zäh
taíhswa	rechte
taíhswa	die Rechte, die rechte Hand
taíhun	zehn
taíhunda	zehnte
taíhuntaíhundfalþs	hundertfältig
taíhuntēhund	hundert
taíhuntēweis	zehnreihig
taikn	Anzeichen
taikneins	Zeichnung, Darstellung
taiknjan	einem etwas zeigen
taikns	Zeichen, Wunder
tainjō	Korb, Weidenkorb
tains	Zweig, Rebe
taíran	zerstören, zerreißen, auflösen
Taírwiggōs	Waldbewohner
taítrarkēs	Tetrarch, Vierfürst
taleiþa	Mägdlein
talōn	verwüsten, wegreißen
tals	fügsam, gehorsam
talzeins	Lehre, Unterweisung
talzjan	lehren, ziehen, unterrichten
talzjands	Lehrer
tamjan	zähmen
tams	zahm
tandjan	anzünden, brennen machen
tappa	Zapfen
tarhjan	kennzeichnen
tarmjan	losbrechen, ausbrechen
tarnjan	rauben
taskōn	raffen
taturō	Zotte
taúhts	Ziehung, Führung
táui	Werk, Tat
taujan	tun, machen, wirken
taujands	Täter
taúra	Riss
taúrnan	reißen
taúrþs	Zerstörung
tē	bis, zu
tēhund	zig
teihan	kündigen, zeigen
tēkan	anrühren, berühren
telich	töricht
tēlōn	schaden
tēmiba	ziemend
tēms	ziemend
Tērvingi	Waldbewohner, Westgoten
tēwa	Ordnung
tēweis	teilig
tēwjan	anordnen
the	der
thīnita	elf
thīntria	dreizehn
thīntua	zwölf
tibr	Opfer
tigjus	Zehnzahl, ...zig
tilamalsks	besonnen
tilarēþs	Zielrat
tilōn	zielen, streben
tils	zielstrebig, passend, geschickt
timan	sich ziemen, geziemen
timr	Bauholz
timreins	Erbauung
timrja	Zimmermann
timrjan	bauen, zimmern, erbauen
timrjō	Bau, Gebäude
tiuhan	ziehen, führen, wegführen
tiuhi	Ruck, Zug
tk	320
tlg	333
tme	345
tōjis	getan habend, tuend, Tuer
tōl	Gefahr
tráuains	Vertrauen, Zuversicht
tráuan	trauen, Zutrauen haben
trausti	Bündnis, Bund, Vertrag
trausts	stark, fest
trigan	trauern, betrüben
triggwa	Bündnis, Bund
triggwaba	treulich, zuverlässig
triggws	treu, zuverlässig
trigō	Trauer, Unlust
trimpan	treten
triniungeldo	Dreineungeld, Siebenundzwanzigfachentgelt
trippōn	trippeln, hüpfen, springen
triu	Holz, Prügel, Baum
triweins	hölzern
trudan	treten, keltern
trusnjan	streuen
tufa	Helmbüschel
tuga	Zieher, Führer
tuggl	Gestirn
tuggō	Zunge
tuld	Zelt, Vorhang
tulgiþa	Festigkeit, Sicherheit, Fundament, Grundfeste, Befestigung
tulgjan	festigen, stärken, befestigen
tulgus	fest, beständig, standhaft
tūn	Zaun
tundi	Dorn, Zahn
tundnan	brennen
tunþus	Zahn
tuz	zer…
tuzwērjan	zweifeln
tuzwērs	verdächtig
twai	zwei
twaitigjus	zwanzig
twalibwintrus	zwölfjährig
twalif	zwölf
tweifleins	Zweifeln, Bezweiflung
tweifljan	zweifeln, in Zweifel versetzen
tweifls	Zweifel
tweifls	zweifelhaft
tweihnai	je zwei
twis	entzwei
twisstandan	sich trennen, Abschied nehmen von
twisstass	Zwistigkeit, Zwiespalt
tyz	Ziu, Kriegsgott, Siegesgott, tRune
þ	th, Abkürzung für 9
þadei	wohin, dorthin wo
þagkjan	denken, überlegen
þagks	Dank
þahains	Schweigen
þahan	schweigen
þāhō	Lehm, Ton
þahsus	Dachs
þaírh	durch
þaírharbaidjan	durcharbeiten
þaírhbaíran	hindurchtragen
þaírhgaggan	hindurchgehen, vorübergehen, herumgehen, durchstreifen
þaírhgaleikōn	deuten, auf jemanden übertragen, beziehen auf
þaírhleiþan	hindurchgehen, vorbeigehen, weitergehen
þaírhsaíƕan	durchschauen, im Spiegel erblicken
þaírhwakan	durchwachen, unter freiem Himmel übernachten, biwakieren
þaírhwisan	verbleiben, verharren
þaírkō	Loch, Nadelöhr
þaírsan	verdorren
þakjan	decken
þan	dann, darauf, wann, so lange als, als, da
þana	dann
þanamais	weiter, noch, mehr
þanaseiþs	weiter, noch
þandē	wenn, weil, so lange als, da
þanei	wann, wieviel
þanjan	strecken, dehnen
þannu	ja, wohl, also darum
þanuh	dann, daher, also, aber, nun
þar	dort, daselbst, da
þarba	Mangel, Armut
þarban	darben
þarbs	nötig, bedürftig
þarei	wo
þarihs	ungewalkt
þaruh	da, nun, aber, daselbst
þatain	das eine
þatainei	nur
þatei	dass, weil, als ob
þaþrō	daher, von da, darauf, hinfort, für die Zukunft
þaþrōei	von wannen, woher, von wo
þaþrōh	von da, daher, darauf, darnach
þau	als, oder, doch, wohl, etwa, wie
þauh	oder, doch
þauhjabai	wenn auch
þaúr	Riese
þaúrban	nötig haben, bedürfen, Mangel leiden
þaúrbs	enthaltsam
þaúrfts	nötig, nützlich, notwendig
þaúrfts	Bedürfnis, Notdurft, Not
þaúris	Riese
þaúrneins	von Dornen, dornen
þaúrnja	Dornbusch
þaúrnus	Dorn
þaúrp	bebautes Land, Acker, Feld
þaúrpan	vergleichen
þaúrsiþs	durstig
þaúrsjan	dürsten
þaursnan	verdorren, vertrocknen
þaúrstei	Durst
þaúrsts	durstig
þaúrsus	dürr, vertrocknet
þē	desto, um so
þēei	darum dass, deshalb dass, als ob, als wenn
þei	was auch immer, dass, damit
þeihan	gedeihen, Fortschritte machen
þeihs	Zeit
þeihwō	Donner
þeins	dein
þēwis	Dienerschaft, Knechte
þiljō	Diele, Planke, Brett
þinsan	ziehen
þiqjan	dick werden
þishun	meist, vorzüglich, besonders
þisƕaduh	wohin auch immer, wohin nur immer
þisƕaruh	wo auch immer, wo nur immer
þisƕazuh	wer auch immer, wer nur immer
þiubi	Diebstahl
þiubjis	diebisch, heimlich
þiubjō	verstohlen, heimlich
þiuda	Volk, Heiden
þiudangardi	Königsschloss, Königreich, Palast
þiudanōn	herrschen, König sein
þiudans	König
þiudinassus	Regierung, Königreich, Reich
þiudiskō	heidnisch
þiufaþia	Tausendschaft
þiufaþs	Knechtführer, Tausendführer
þiufaþus	Knechtführer, Tausendführer
þiufs	Dieb, Räuber
þiuh	Oberschenkel, Hüfte
þiuhbrōks	Kniehose
þiumagus	Knecht
þius	Haussklave, Diener, Knecht
þiuþ	das Gute, die gute Sache, Gut
þiuþan	lärmen
þiuþei	Güte
þiuþeigs	gut, gepriesen
þiuþeins	Güte, Segen
þiuþiqiss	Segen, Segnung
þiuþjan	segnen
þiuþs	gut
þiuþspillōn	Gutes künden, frohe Botschaft künden, verkündigen
þiwadw	Knechtschaft, Dienstbarkeit
þiwairna	Magd
þiwan	dienstbar machen
þiwi	Magd
þlahsjan	schrecken, erschrecken
þlahsnan	erschrecken
þlaihan	ermahnen, trösten
þlaihts	Trost
þlaqus	zart
þlaúhs	Flucht
þliuhan	fliehen
þrafsteins	Trost, Tröstung
þrafstjan	trösten, mahnen, ermahnen
þrafsts	Trost
þragjan	laufen
þraihn	Menge
þramstei	Heuschrecke
þras	schnell, verwegen
þrasabalþei	Streitsucht
þrasabalþs	streitsüchtig
þreihan	drängen
þreihsl	Drangsal, Bedrängnis
þreis	drei
þreistigjus	dreißig
þridja	dritte
þridjataihun	dreißig
þridjō	zum dritten Mal
þrimman	schwellen
þriskan	dreschen
þriutan	schwerfallen
þrōþjan	üben
þruks	Druck, Stoß
þrūtsfill	Aussatz
þrūtsfills	aussätzig
þrūþs	Kraft
þū	du
þūei	der du
þufaz	Fahne, Büschel
þugkjan	glauben, meinen, gelten, erscheinen, dünken
þūhts	mütig, dünkend
þūhtus	Gewissen
þulains	Dulden, Leiden, Geduld
þulan	dulden, leiden
þulds	Geduld
þunara	Donnerer, Donar
þund	schwellen
þunds	Held
þūs	groß, Kraft
þūsundi	tausend
þūsundifaþs	Tausendführer, Anführer von Tausend
þuthaúrn	Trompete
þuthaúrnjan	trompeten
þuts	Lärm
þwahan	etwas waschen, sich waschen
þwahl	Bad, Taufe
þwaírhei	Zorn, Streitigkeit, Streit
þwaírhs	quer, zornig
þwastiþa	Sicherheit
þwastjan	befestigen
þwasts	fest
þwmiama	Rauchopfer, Räucherwerk
u	u, Abkürzung für 70
u	ob, oder
ubil	Übel
ubilaba	übel, böse
ubils	übel, böse, schlecht
ubiltōjis	übeltäterisch, Übeltäter
ubilwaúrdjan	übel sprechen, schmähen
ubilwaúrds	übelredend, schmähsüchtig
ubizwa	Halle
ubuh	unter
ud	74
uf	unter
ufaiþeis	durch Eid verpflichtet, durch Eid verbunden, vereidet
ufanus	der seinen Überfluss zeigt
ufar	über
ufara	obere
ufarassjan	überfließend machen, überschwänglich machen, überfließen, im Überfluss vorhanden sein
ufarassus	Überfluss, Übermaß
ufarfullei	Überfülle, Überfluss
ufarfulljan	überfüllen
ufarfulls	festgedrückt, übervoll
ufargaggan	etwas übertreten, übergreifen, überschreiten
ufargiutan	übergießen, übervoll gießen
ufargudja	Oberpriester, Mitglied des Synhedrions
ufarhafjan	überheben
ufarhafnan	sich überheben
ufarhamōn	überziehen, sich mit etwas überkleiden, sich anziehen
ufarhauhjan	überhöhen, verblenden
ufarhauseins	Überhören, Ungehorsam
ufarhausjan	überhören
ufarhiminakunds	himmlisch
ufarhleiþrjan	überzelten, ein Zelt über jemandem aufschlagen
ufarhugjan	sich überheben
ufarjaina	darüber hinaus
ufarlagjan	überdecken
ufarleiþan	übersetzen, hinüberfahren
ufarmaudei	Vergessenheit
ufarmaudjan	vergessen
ufarmēleins	Überschrift
ufarmēli	Überschrift
ufarmēljan	überschreiben, darüber schreiben
ufarmitōn	vergessen
ufarmunnōn	vergessen
ufarō	darüber, über etwas, über einem, über einer Sache
ufarranneins	Besprengung
ufarrannjan	überrennen, besprengen
ufarskadwjan	überschatten
ufarskafts	Erstlingsfrucht, Anbruch
ufarsteigan	darüber emporsteigen
ufarswara	Meineidiger
ufarswaran	falsch schwören
ufartrusnjan	überstreuen
ufarþeihan	übertreffen
ufarwahsjan	überaus wachsen, sich stark vermehren
ufarwisan	überragend sein, übersteigen, hervorragen
ufbauljan	aufblasen
ufblēsan	aufblasen, sich aufblähen
ufbrikan	verwerfen, verachten
ufbrinnan	verbrennen
ufdaupjan	taufen, eintauchen
ufgaírdan	umgürten
ufgraban	nachgraben, unterwühlen, aufgraben
ufhaban	aufheben, emporhalten
ufhauseins	Gehorsam
ufhausjan	gehorchen, sich an etwas halten
ufhlōhjan	auflachen machen, lachen machen, auflachen
ufhnaiweins	Gehorsam, Unterordnung, Unterwerfung
ufhnaiwjan	einen unterwerfen unter
ufhrōpjan	aufschreien, ausrufen
ufjō	Überfluss
ufkunnan	erkennen, erfahren
ufkunþi	Erkenntnis
ufligan	unterliegen, verschmachten, matt werden, sterben
ufmēljan	unterschreiben
ufrakjan	aufrecken, ausstrecken, hinaufziehen
ufsaggqjan	versenken
ufsliupan	einschleichen, zu Unrecht einführen, sich zurückziehen, sich fortschleichen
ufsneiþan	aufschneiden, schlachten
ufstraujan	darunterstreuen, unterbreiten
ufswalleins	Aufgeblasenheit, Hochmut
ufswalljan	aufschwellen, aufblasen
ufswōgjan	aufseufzen
ufta	oft
uftō	vielleicht
ufþanjan	ausdehnen, ausstrecken, nach etwas trachten
ufwaíra	verheiratet
ufwōpjan	aufschreien, ausrufen
ug	73
ugkar	unser beider
ugkja	Unze
uh	und, nun, also
ūhteigō	zur rechten Zeit, zu gelegener Zeit
ūhteigs	Zeit habend, unbeschäftigt
ūhti	Zeit, Gewohnheit
ūhtiugs	gelegen, passend, zeitgemäß
ūhtwō	Morgendämmerung
ulbandus	Kamel
un	un
unagands	unfurchtsam, furchtlos
unagei	Furchtlosigkeit
unags	furchtlos
unaírkns	unheilig, gottlos
unaiwisks	ohne Schande
unanasiuniba	unsichtbar
unanasiuns	unsichtbar
unandhuliþs	unenthüllt
unandsakans	unbestritten
unandsōks	unbestreitbar, unwiderleglich
unatgāhts	unzugänglich
unbaírands	nicht tragend
unbarnahs	kinderlos
unbaúrans	ungeboren
unbeistei	Ungesäuertsein, ungesäuertes Brot
unbeistjōþs	ungesäuert
unbiari	wildes Tier, Bestie
unbilaistiþs	unaufspürbar, unbegreiflich, unerforscht
unbimait	Nichtbeschneidung, Vorhaut
unbimaitans	unbeschnitten
unbrūks	unbrauchbar
und	bis, zu, für, um etwas, ent
undar	unter
undarists	das Innere, innerste, die untersten
undarleija	Allergeringster, Geringster
undarleis	niedrig, gering
undarō	unter
undaúrnimats	Frühstück, Mittagsmahl
undgreipan	ergreifen, requirieren
undiwanei	Unsterblichkeit
undiwans	unsterblich
undrēdan	besorgen, gewähren
undrinnan	zufallen, zuteil werden, untereinander disputieren
unfagrs	unpassend
unfaírina	tadellos, außer Schuld, ohne Tadel
unfaírinōdaba	untadelig, tadellos
unfaírlaistiþs	unaufspürbar, unerforschlich
unfaurs	geschwätzig
unfaúrweis	unvorsätzlich, ohne Vorbedacht, unbedacht
unfraþjands	unverständig
unfreideins	Schonungslosigkeit, Härte
unfrōdei	Unverstand, Torheit
unfrōþs	unverständig
ungafaírinōnds	tadellos, unbescholten
ungafaírinōþs	tadellos, unbescholten, schuldlos
ungahabandssik	zügellos, unbeherrscht, unenthaltsam
ungahōbains	Unmäßigkeit, Unenthaltsamkeit
ungaƕaírbs	unfügsam, ungehorsam
ungakusans	verwerflich, nicht probehaltig
ungalaubeins	Unglaube, Ungehorsam
ungalaubjands	ungläubig, ungehorsam
ungalaufs	wertlos
ungaraíhtei	Gesetzlosigkeit, Ungerechtigkeit
ungasaíƕans	ungesehen, unsichtbar
ungastōþs	ohne festen Stand, ohne bleibende Stätte
ungatass	ungeordnet, zügellos
ungatassaba	unordentlich, ungeregelt
ungatēwiþs	ungeordnet, unordentlich
ungawagiþs	unbewegt, unbeweglich
unhabands	nicht habend
unhaili	Schwäche, Krankheit
unhails	krank
unhanduwaúrhts	nicht handgemacht, nicht mit der Hand gemacht
unhindarweis	ungeheuchelt
unhrainei	Unreinheit
unhrainiþa	Unreinheit
unhrains	unrein, ungebildet
unhulþa	Unhold, Teufel
unhulþō	Unholdin, Dämon
unhunslags	ohne Opfer, unversöhnlich
unƕapnands	unauslöschlich
unƕeila	unablässig, beständig
unkarja	sorglos, unbesorgt
unkaúreins	Unbeschwerde, Unbeschwerlichkeit
unkunnands	nicht kennend, unwissend
unkunþi	Unkunde
unkunþs	unbekannt
unlēdi	Armut
unlēdjan	arm machen
unlēþs	arm
unliufs	ungeliebt, unlieb
unliugaiþs	unverheiratet
unliugands	nicht lügend
unliuts	ungeheuchelt, ohne Falsch
unlustus	Unlust
unmahteigs	ohnmächtig, schwach, unmöglich
unmahts	Ohnmacht, Schwäche, Krankheit
unmanariggws	ungezähmt, wild, grausam
unmanwus	unvorbereitet
unmilds	lieblos
unnuts	unnütz, töricht
unqēniþs	unbeweibt
unqēþs	unaussprechlich
unriurei	Unvergänglichkeit
unriureis	unvergänglich
unrōdjands	nicht redend, stumm
unsahtaba	unbestritten, unbestreitbar
unsaíƕands	nicht sehend
unsaltans	ungesalzen, kraftlos
unsar	unser
unsēlei	Bosheit, Schlechtigkeit
unsēls	übel, böse
unsibjis	ungesetzlich, gottlos
unskaus	nüchtern
unsūti	Aufstand, Aufruhr
unsweibands	unaufhörlich
unswēran	verunehren, beschimpfen
unswērei	Unehre
unswēriþa	Unehre
unswērs	nicht geachtet, verachtet
unswikunþs	unbekannt
untals	unfügsam, unbotmäßig, ungehorsam, ungebildet, töricht
untē	bis, solange als, denn, weil, da
untilamalsks	voreilig, unbesonnen
untriggws	untreu, ungerecht
unþaþlíuhan	entfliehen, einem entrinnen
unþiuda	Unvolk, Nichtvolk
unþiuþ	das Böse
unþiuþjan	fluchen
unþwahans	ungewaschen
unufbrikands	unanstößig
unūhteigō	zur Unzeit
unūhteigs	unzeitig
unuslaisiþs	unbelehrt, ungelehrt
unusspillōþs	nicht auszuerzählen, unerforschlich
unwāhs	tadellos, untadelhaft
unwaírþaba	unwürdig
unwaírþs	unwürdig
unwammei	Unbeflecktheit, Reinheit, Lauterkeit
unwamms	fleckenlos, tadellos, rein
unwaúrstwō	Untätige, Müßige
unweis	ungebildet, unwissend
unwēniggō	unerwartet, plötzlich, unverhofft
unwērei	Unwille
unwērjan	unwillig sein, zürnen
unwērs	unwillig, zornig
unwiss	ungewiss, ins Ungewisse
unwita	Unwissender, Unverständiger, Törichter
unwitands	unwissend
unwiti	Unwissenheit, Unverstand
unwunands	beängstigt, bekümmert
ur	aus
urraisjan	zum Aufstehen bringen, aufrichten, erwecken, erregen, aufregen
urrannjan	aufgehen lassen
urrēdan	auflegen, bestimmen, urteilen
urreisan	erstehen, sich erheben, aufstehen
urrinnan	auslaufen, ausgehen, aufgehen
urrists	Auferstehung
urrugks	verworfen
urrūmnan	sich erweitern, aufgehen
urruns	Aufgang, Osten, Abtritt
urruns	Ausgang
ūrs	Auerochs, uRune
us	aus, von her, seit, gleich nach
usagjan	einen erschrecken
usagljan	ins Gesicht schlagen, bedrängen, belästigen, beschimpfen
usaiwjan	sich anstrengen
usalþan	alt werden, veralten
usbaíran	hinaustragen, hervorbringen, vorbringen, ertragen
usbalþei	Frechheit, fortwährende Zänkerei
usbalþjan	wagen, sich erkühnen
usbaugjan	ausfegen
usbeidan	erwarten, Geduld haben
usbeisnei	Geduld, Langmut
usbeisneigs	geduldig, langmütig
usbeisns	Erwartung, Geduld, Langmut
usbidan	erbitten
usbliggwan	durchbleuen
usblōtan	bitten
usblōteins	Bitte, Flehen, Gebet
usbraidjan	ausbreiten nach
usbruknan	ausgebrochen werden, abgebrochen werden
usbugjan	erkaufen
usdaudei	Ausdauer, Eifer
usdaudjan	sich beeifern, seine Ehre suchen
usdaudō	eifrig
usdauþs	eifrig
usdreiban	austreiben, vertreiben
usdriusan	herausfallen
usdrusts	rauher Weg
usfaírina	tadellos
usfarþō	Ausfahrt
usfarþōn	ausfahren
usfilh	Begräbnis
usfilhan	begraben
usfilma	erschrocken, entsetzt
usfilmei	Entsetzen
usfōdeins	Nahrung
usfōdjan	nähren
usfraisan	versuchen
usfratwjan	klug machen, ausrüsten, ausstatten
usfulleins	Erfüllung
usfulljan	erfüllen, vollenden, ersetzen, zusammenfassen
usfullnan	erfüllt werden von
usgaggan	ausgehen, hinausgehen
usgaisjan	erschrecken
usgeisnan	sich entsetzen, erstaunen, erschrecken
usgiban	erstatten, bezahlen, darstellen, darbringen
usgildan	vergelten
usgraban	ausgraben
usgrudja	mutlos
usgutnan	verschüttet werden
ushafjan	erheben, wegnehmen
ushāhansik)	sich erhängen
ushaista	Mangel leidend, bedürftig
ushaitan	herausfordern
ushauhjan	erhöhen
ushauhnan	verherrlicht werden, erhöhen, erhöht werden
ushinþan	erbeuten
ushlaupan	aufspringen, sich aufmachen
ushrainjan	ausfegen
ushramjan	kreuzigen
ushrisjan	abschütteln
ushulōn	aushöhlen
uskannjan	verkünden, berichten, empfehlen, kundtun
uskeinan	hervorkeimen
uskiusan	erproben, verwerfen, vertreiben, auswählen
uskunþs	bekannt, offenbar
uslagjan	auflegen, anlegen
uslaisiþs	belehrt, gelehrt
uslaisjan	belehren, lehren
uslaubjan	erlauben
uslauseins	Erlösung
uslausjan	entledigen, entäußern, entleeren, berauben, erlösen, befreien, entwurzeln
usleiþan	hinausgehen, weggehen, verreisen, vergehen
uslētan	ausschließen
usliþa	gichtbrüchig, Gichtbrüchiger
usluk	Eröffnung, Öffnung, Loch
uslūkan	erschließen, öffnen
uslūknan	sich erschließen, sich öffnen
usluneins	Erlösung
uslunjan	erlösen
uslutōn	verführen, irreführen
usmaitan	ausschneiden, abschneiden, ausrotten, aushauen
usmanagnan	sich vermehren, sich reichlich zeigen
usmērjan	verkünden
usmērnan	sich verbreiten, sich ausbreiten
usmēt	Lebensführung, Lebenswandel, Bürgerrecht, Wandel
usmitan	wandeln, leben, sich benehmen
usniman	herausnehmen, wegnehmen, aufnehmen, mitnehmen, annehmen
usqiman	umbringen, den Tod geben
usqiss	Beschuldigung, Anklage, Nachrede
usqistjan	verderben, umbringen, töten, zugrunde richten
usqiþan	ein Gerede verbreiten
usrūmnan	sich erweitern
ussaíƕan	aufblicken, ansehen, das Gesicht wieder erhalten, aussehen, umsehen
ussakan	erörtern, vorlegen, ausführlich vortragen
ussaljan	Herberge nehmen, einkehren
ussandjan	aussenden
ussateins	Ursprung
ussatjan	daraufsetzen, pflanzen, erzeugen, aussenden, zusammensetzen, gründen
ussiggwan	vorlesen, rezitieren
ussindō	am meisten, besonders, ausnehmend
ussinþs	außer dem Weg befindlich, besonders
ussitan	sich aufsetzen, sich aufrichten
usskarjan	nüchtern werden, zur Besinnung kommen, herausreißen
ussōkjan	erforschen, verhören, unterscheiden, bevorzugen, ausforschen
usspillōn	verkünden, erzählen, ausführlich erzählen
usspillōþs	aussprechbar
usstaggan	ausstechen
usstandan	sich erheben, aufbrechen, auferstehen, aufstehen
usstass	Auferstehung
ussteigan	emporsteigen, hinaufsteigen
usstiurei	Zügellosigkeit, Liederlichkeit
usstiuriba	zügellos
usstiurs	zügellos
ustaikneins	Auszeichnung, Bezeichnung, Bekanntmachung, Anzeichen, Beweis, Darstellung
ustaiknjan	bezeichnen, auszeichnen, erweisen, darstellen, in die Erscheinung bringen
ustaúhts	Vollendung, Vervollkommnung, Ende, Erfüllung
ustiuhan	hinausführen, wegführen, entrichten, ausführen, vollbringen, vollenden, herstellen
usþinsan	ziehen
usþriutan	einem Beschwerde bringen, beschwerlich fallen
usþrōþeins	Übung, Stählung
usþrōþjan	einüben
usþulains	Geduld
usþulan	erdulden, ertragen, sich annehmen
usþwahan	auswaschen, abwaschen
uswagjan	erregen
uswahsans	erwachsen
uswahsjan	erwachsen
uswahsts	Wachstum
uswaírpan	hinauswerfen, wegwerfen, austreiben, verwerfen, abwerfen, ablegen, daraufwerfen
uswakjan	erwecken, aufwecken
uswalteins	Umwälzung, Zusammensturz, Zerstörung, Untergang
uswaltjan	etwas umwälzen, etwas umstürzen
uswalugjan	hin und her wälzen, hin und her treiben, umherschleudern
uswandeins	Verführung
uswandi	Abwendung, Irreleiten, Irreführung
uswandjan	sich wegwenden, sich entziehen, verfallen
uswaúrhts	gerecht
uswaúrhts	Gerechtigkeit
uswaúrkjan	ausführen, vollbringen
uswaúrpa	Auswurf, Verwerfung, Fehlgeburt
usweihs	außer der Weihe, unheilig, profan
uswēna	hoffnungslos
uswindan	flechten, winden
uswiss	losgebunden
uswissi	Leichtfertigkeit, Eitelkeit
ūt	hinaus, heraus
ūta	außerhalb, draußen
ūtana	von außen, außen, äußere, außerhalb
ūtaþrō	von außen, außerhalb
ūtbaíran	hinaustragen
ūtgaggan	hinausgehen, ausgehen
uzanan	ausatmen, aushauchen
uzds	Spitze
uzēta	Krippe
wad	Wasser, Furt
waddjus	Wand, Geflecht, Mauer
wadi	Pfand
wadjabōkōs	Handschein, Schuldschein
wadjōn	verloben
wagga	Wange
waggāreis	Kopfkissen
waggō	Wange
waggs	Wiese, Paradies
waghen	Wagen
wagjan	schütteln, bewegen
wāhs	tadelig
wahsjan	wachsen
wahsts	Wachstum
wahstus	Wuchs, Wachstum, Körpergröße, Größe
wahtwō	Wache
wai	wehe
wáian	wehen
waibjan	weben, winden
waida	Weide
waidēdja	Übeltäter, Räuber
waidēþs	Übeltat
waifaírƕjan	wehklagen
waihjō	Kampf
waíhsta	Winkel, Ecke
waíhstastains	Winkelstein, Eckstein
waíht	etwas
waíhts	Ding, Sache, etwas
waíla	wohl, gut, wohlan
waíladēþs	Wohltat
waílamērei	guter Ruf
waílamēreins	Verkündigung, Botschaft
waílamēreis	wohllautend, löblich
waílamērjan	einem eine frohe Botschaft künden, predigen, frohe Botschaft bringen
waílaqiss	Segen
waílaspillōn	verkünden, erzählen, frohe Botschaft verkünden
waílawizns	gute Nahrung, gute Kost
wainahs	elend, geplagt
wainei	wenn doch, dass doch
wainjan	weinen
wainōn	weinen
waipjan	binden
waips	Kranz
waír	Mann
waíraleikō	männlich
waíraleiks	männlich
waírdus	Gastfreund, Hauswirt, Wirt
waírilō	Lippe
waírpan	werfen
waírs	schlimmer
waírsiza	schlimmer
waírþ	Preis, Wert
waírþaba	wert, würdig
waírþan	werden, geschehen, geboren werden, entstehen, kommen, stattfinden, sich ereignen
waírþeigs	friedfertig, friedlich
waírþi	wärtigkeit
waírþi	Wert
